"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
"2","decreasing",16777216,123456,1,"drake",2,4508.405235
"2","constant",1048576,123456,1,"parallel",1,33.505908
"2","constant",1048576,123456,1,"parallel",2,34.249761
"2","constant",1048576,123456,1,"drake",1,201.836536
"2","constant",1048576,123456,1,"drake",2,209.122061
"2","constant",4194304,123456,1,"parallel",1,112.601274
"2","constant",4194304,123456,1,"parallel",2,112.144977
"2","constant",4194304,123456,1,"drake",1,803.203768
"2","constant",4194304,123456,1,"drake",2,887.054671
"2","constant",16777216,123456,1,"parallel",1,391.469709
"2","constant",16777216,123456,1,"parallel",2,397.077620
"2","constant",16777216,123456,1,"drake",1,3013.102718
"2","constant",16777216,123456,1,"drake",2,3009.998381
"3","uniform-random",1048576,123456,1,"parallel",1,322.919214
"3","uniform-random",1048576,123456,1,"parallel",2,321.052723
"3","uniform-random",1048576,123456,1,"drake",1,263.768922
"3","uniform-random",1048576,123456,1,"drake",2,268.177944
"3","uniform-random",1048576,123456,2,"parallel",1,317.671601
"3","uniform-random",1048576,123456,2,"parallel",2,327.738331
"3","uniform-random",1048576,123456,2,"drake",1,260.322027
"3","uniform-random",1048576,123456,2,"drake",2,261.887420
"3","uniform-random",4194304,123456,1,"parallel",1,1313.460238
"3","uniform-random",4194304,123456,1,"parallel",2,1317.899594
"3","uniform-random",4194304,123456,1,"drake",1,1059.363779
"3","uniform-random",4194304,123456,1,"drake",2,1020.765873
"3","uniform-random",4194304,123456,2,"parallel",1,1319.619258
"3","uniform-random",4194304,123456,2,"parallel",2,1318.982476
"3","uniform-random",4194304,123456,2,"drake",1,1020.604426
"3","uniform-random",4194304,123456,2,"drake",2,1019.374854
"3","uniform-random",16777216,123456,1,"parallel",1,5263.045298
"3","uniform-random",16777216,123456,1,"parallel",2,5242.581187
"3","uniform-random",16777216,123456,1,"drake",1,3947.093243
"3","uniform-random",16777216,123456,1,"drake",2,3932.749835
"3","uniform-random",16777216,123456,2,"parallel",1,5222.170835
"3","uniform-random",16777216,123456,2,"parallel",2,5229.051262
"3","uniform-random",16777216,123456,2,"drake",1,3980.003828
"3","uniform-random",16777216,123456,2,"drake",2,3933.092019
"3","increasing",1048576,123456,1,"parallel",1,190.826626
"3","increasing",1048576,123456,1,"parallel",2,186.669791
"3","increasing",1048576,123456,1,"drake",1,209.241035
